Text,Category
"@nasikebuli07 @FANBASEBOKEP2 Dom jakpus sih, bebas mau ketemuan or shopee",0
@seolasidooo Jujur kacang ijo !! ,0
Sahur tengah malam kaya nya enak ya... ,0
"@Ini_Talkshow @tiket

Makan serabi enak pas lagi panas..
Serabinya terbuat dari kelapa.. 
neng Tasya  aa ikhlas.. https://t.co/24DGRbL70Z",0
"@imtaeyonglee loh kenapa? kan marga oppa juga lee, pasti enak

yaudah oppa jalan - jalan dong, biar bisa liat pemandangan",0
Resort Datuk Jhon Gani..kuala penyu..boleh bawa keluarga..santai saja tempatnya..pantai nya bersih dan indah..tenan https://t.co/ufnKUfQYbe,0
"|190506| BTS at Rose Bowl Day 1|

 Jadi mulai hari ini aku akan berusaha menjadi Dokter Strange karena cincin ini https://t.co/eKJPbVdgJs",0
"I'm at Menara Axis in Petaling Jaya, Selangor https://t.co/z3utBOOcmG",0
"Usually aku rimas tngok parking kiri kanan

Tapi untuk time raya diberi excuse..
Seronok plak tngok kereta parking penuh satu laman rumah",0
Perlu hijrah sebentar dari sini untuk menenangkan jiwa. Seperti liburan ditengah hutan mungkin..,0
97. Namanya kaya kuota internet.,0
"@SyedSaddiq Happy fasting, yb!!",0
Huawei nova 4e 6/128GB w Banggood... https://t.co/IC3rXFp1CH,0
pekene Teh Ais Pyorrr ni sedap ni ,0
"@_suhaimi94 (@ Piccadilly Restaurant in Petaling Jaya, Selangor w/ @syahiddinh @nrainasykra) https://t.co/9bfJHkNb7i",0
freshman koo                       senior JK https://t.co/X4a0WBTV13,0
"Nubia Red Magic 3 Hadir Dengan Spesifikasi Tinggi, Skrin 90Hz, Kipas Penyejuk, Rakaman Video 8K https://t.co/dfOydQtKsN",0
@septiwildani @viqipedia senang ya kalian ghibah,0
"Jalan Semerbak 16
Taman Bukit Dahlia, 81700 Pasir Gudang, Johor
https://t.co/dj5qMpPPIL",0
@Ashril_92 Roti canai telur banjit yg sedap kat selangor mansion ,0
" #Super #Cashback  

#realmec2 #realmec1
#diskon ramadhan ojo lali yo rek NEMU MURAH CELL Recomended paling murah https://t.co/IU7pDAWzFI",0
"@askmenfess W yang bru lancar korea doank :"" jepang cina belom lancar. Tp tipsnyaaa banyakin nonton film atau drama https://t.co/drrzluj4OR",0
"@sugarplumelegy_ Gapapa
Kamu suka beli alat elektronik merk LG kok",0
Gratis SPP 1 semester https://t.co/hXe9N7laFt,0
Same goes to perempuan yg dh ade bf tapi ade best friend lelaki https://t.co/GbFPg10Zui,0
Bye2 tanah tercinta..jumpa lagi deh awok2,0
allhamdulillah done for today. tq team good job @ Mios Kitchen https://t.co/1QbqBB2I0W,0
@intanrsle Comel anak patung,0
"Bokep ABG Cantik Sange Dientot Pacar Cabul
https://t.co/mU4uwY7aZo

#videosangek #videobugil #bugil #bugilcantik https://t.co/jpi7SHvojU",0
Ekpresilu ketika lagi antri mau bayar di indoalpa tetiba ada mamak mamak nyerobot manis manis manja... https://t.co/c2ZMpcrUqR,0
"lelahku, semoga mbawa keuntungan kemudian nnt..",0
keindahan di hari pemilu adalah ketika melihat para bidadari komplek pada keluar rumah untuk nyoblos #pemilu2019,0
@beras_kencurp @imade_trisna mantep btul..... ayo mumpung lg hjan,0
"Salam Pagi Jumaat,Mudah2an Kita Semua Diberi Kesihatan,
Kesejahteraan Dan Keberkatan Keatasnya..Amin2 InsyaAllah",0
"tengok bon voyage malam-malam is not a good idea.bila ketawa kuat sangat pastu ibunda buka pintu

""hei nak jadi pontianak ea?""",0
@chatime_pearl iya pdhl cantik gt tp masi blg kentang:(,0
Hai semua. Adakah anda akan tertarik sekiranya kami memperkenalkan pas bulanan untuk perkhidmatan bas perantara Ra https://t.co/7skBH7hUzc,0
"*soc

 Selamat sore. Izin menaikkan, ya?

https://t.co/RyDCYawwS0",0
"Bahagia itu simple, streaming music tanpa boros kuota smartfren dan nikmati perjalanan mudik dr rest area Cikampek https://t.co/tVhXt9IF9S",0
@taecreme Bagus kok bgus,0
"Kat Malaysia ni nak kaya kena ada satu cita cita je, jadi menteri",0
"Kadang-kadang pilihan yang kita buat tak semestinya betul, walaupun kita rasa kita dah cukup rasional. Sebab tu pentingnya berbincang.",0
