Category,Cleaned_Text
0,dom jakpus sih bebas ketemu shopee
0,jujur kacang ijo
0,sahur malam kaya nya enak 
0,serabi enak pas panas  serabi kelapa  neng tasya aa ikhlas 
0,loh marga oppa lee enak yaudah oppa jalan jalan biar liat pandang
0,resort datuk jhon gani  kuala penyu  bawa keluarga  santai  pantai nya bersih indah  tenan
0, bts rose bowl day usaha dokter strange cincin
0,menara axis petaling jaya selangor
0,usually rimas tngok parking kiri kanan time raya excuse  seronok plak tngok kereta parking penuh laman rumah
0,hijrah sebentar tenang jiwa libur hutan 
0,nama kaya kuota internet
0,happy fasting yb
0,huawei nova e gb w banggood 
0,pekene teh ais pyorrr sedap
0,piccadilly restaurant petaling jaya selangor w
0,freshman koo senior jk
0,nubia red magic hadir spesifikasi skrin hz kipas sejuk rakaman video k
0,senang ghibah
0,jalan semerbak taman bukit dahlia pasir gudang johor
0,roti canai telur banjit sedap selangor mansion
0,super cashback realmec realmec diskon ramadhan ojo lali yo rek nemu murah cell recomended murah
0,w bru lancar korea doank  jepang cina bom lancar tp tipsnyaaa banyakin nonton film drama
0,gapapa suka beli alat elektronik merk lg
0,gratis spp semester
0,goes perempuan dh ade bf ade best friend lelaki
0,bye tanah cinta  jumpa deh awok
0,allhamdulillah done today tq team good job mios kitchen
0,comel anak patung
0,bokep abg cantik sange entot pacar cabul videosangek videobugil bugil bugilcantik
0,ekpresilu antri bayar indoalpa tetiba mamak mamak nyerobot manis manis manja 
0,lelah moga mbawa untung nnt 
0,indah milu lihat bidadari komplek rumah nyoblos milu
0,mantep btul  ayo mumpung lg hjan
0,salam pagi jumaat mudah kesihatan sejahtera berkat  amin insyaallah
0,tengok bon voyage malam good idea bila ketawa kuat pastu ibunda buka pintu  hei pontianak ea 
0,iya pdhl cantik gt tp mas blg kentang
0,hai tarik sekira kenal pas khidmat bas ra
0,soc selamat sore izin
0,bahagia simple streaming music boros kuota smartfren nikmat jalan mudik dr rest area cikampek
0,bagus bgus
0,malaysia kaya cita cita menteri
0,kadang pilih mesti rasional bincang
0,right mira filzah diorng syukur sikit sayang even muka cama hapak
